player,matches_played,total_runs,balls_faced,strike_rate,fours,sixes
BB McCullum,2,182,89,204.49,12,15
PD Salt,2,143,73,195.89,13,11
V Kohli,4,135,109,123.85,10,5
JM Bairstow,1,108,48,225.0,8,9
WG Jacks,2,106,51,207.84,5,10
KL Rahul,2,104,76,136.84,11,3
WP Saha,4,102,58,175.86,8,6
RD Gaikwad,1,98,57,171.93,10,3
J Fraser-McGurk,2,96,35,274.29,12,7
DJ Hussey,4,94,76,123.68,7,4
SP Narine,2,86,46,186.96,12,4
B Sai Sudharsan,1,84,54,155.56,8,4
SR Watson,2,80,58,137.93,10,3
GC Smith,2,73,66,110.61,12,0
TH David,2,72,37,194.59,5,4
SV Samson,1,71,35,202.86,7,4
Tilak Varma,2,70,45,155.56,5,4
ML Hayden,1,70,50,140.0,6,3
YK Pathan,2,69,32,215.63,10,3
Shashank Singh,1,68,29,234.48,2,8
DJ Hooda,2,68,51,133.33,9,0
VR Iyer,2,65,47,138.3,5,3
LR Shukla,3,64,55,116.36,5,2
MP Stoinis,2,62,50,124.0,7,2
SS Iyer,2,61,33,184.85,4,4
SC Ganguly,4,59,75,78.67,6,1
M Shahrukh Khan,1,58,31,187.1,3,5
RR Pant,2,56,41,136.59,4,3
P Simran Singh,1,54,21,257.14,4,5
Abishek Porel,2,54,44,122.73,5,2
T Stubbs,2,52,35,148.57,6,2
P Kumar,2,52,47,110.64,3,5
Ishan Kishan,2,52,52,100.0,7,0
Dhruv Jurel,1,52,34,152.94,5,2
DJ Mitchell,1,52,32,162.5,7,1
RM Patidar,1,50,21,238.1,2,5
N Wadhera,2,50,45,111.11,5,2
F du Plessis,2,49,25,196.0,4,4
MS Dhoni,2,48,29,165.52,4,2
Shahbaz Ahmed,2,47,44,106.82,2,1
SD Hope,2,47,20,235.0,0,6
HH Pandya,2,46,26,176.92,4,3
Abhishek Sharma,2,46,24,191.67,4,3
LRPL Taylor,1,44,21,209.52,6,3
SE Marsh,1,40,32,125.0,5,1
S Dube,1,39,23,169.57,1,4
AK Markram,2,39,35,111.43,5,0
Mohammad Hafeez,4,38,47,80.85,4,1
M Kaif,2,38,38,100.0,5,0
C Green,1,37,22,168.18,5,0
SA Yadav,2,36,19,189.47,3,3
PJ Cummins,2,36,23,156.52,2,3
DB Das,2,36,28,128.57,2,2
Kuldeep Yadav,1,35,28,125.0,5,1
JC Buttler,1,34,18,188.89,4,1
PP Chawla,2,31,11,281.82,4,2
Abdul Samad,2,29,24,120.83,1,2
Nithish Kumar Reddy,2,28,29,96.55,0,1
KC Sangakkara,1,28,23,121.74,5,0
H Klaasen,2,27,25,108.0,0,2
RR Rossouw,1,26,18,144.44,1,2
DA Miller,1,26,22,118.18,2,1
AR Patel,2,26,27,96.3,2,1
N Pooran,2,25,27,92.59,2,0
YBK Jaiswal,1,24,18,133.33,3,1
Salman Butt,1,24,22,109.09,5,0
IK Pathan,1,24,28,85.71,2,0
AD Russell,1,24,15,160.0,2,2
A Badoni,2,24,21,114.29,2,0
PA Patel,1,21,30,70.0,3,0
Z Khan,2,20,26,76.92,2,0
RT Ponting,2,20,21,95.24,1,1
JH Kallis,2,19,17,111.76,2,1
JR Hopes,1,18,12,150.0,4,0
Yuvraj Singh,1,17,10,170.0,2,1
B Kumar,2,17,17,100.0,3,0
AB Agarkar,3,17,13,130.77,2,0
Shubman Gill,1,16,19,84.21,1,0
RK Singh,2,16,15,106.67,2,0
KH Pandya,2,16,12,133.33,1,0
TM Head,2,14,10,140.0,1,1
R Parag,1,14,11,127.27,0,1
Sohail Tanvir,1,13,8,162.5,1,1
PP Shaw,1,13,8,162.5,3,0
Swapnil Singh,1,12,6,200.0,1,1
RG Sharma,2,12,15,80.0,2,0
MV Boucher,2,11,21,52.38,1,0
KD Karthik,1,11,7,157.14,2,0
DPMD Jayawardene,1,10,6,166.67,0,1
L Wood,1,9,3,300.0,0,1
JD Unadkat,2,9,13,69.23,1,0
AM Rahane,1,9,12,75.0,1,0
AA Noffke,1,9,12,75.0,1,0
Rasikh Salam,1,8,10,80.0,1,0
Q de Kock,1,8,3,266.67,2,0
Mohammad Nabi,2,8,6,133.33,0,1
Umar Gul,1,7,4,175.0,0,1
MK Lomror,1,7,5,140.0,1,0
W Jaffer,1,6,18,33.33,0,0
SB Joshi,2,6,16,37.5,0,0
Ramandeep Singh,1,6,3,200.0,0,1
K Goel,1,6,7,85.71,1,0
I Sharma,2,6,4,150.0,0,0
CL White,1,6,10,60.0,0,0
SA Asnodkar,1,5,3,166.67,1,0
AJ Turner,1,5,9,55.56,0,0
M Kartik,1,3,3,100.0,0,0
S Chanderpaul,1,2,9,22.22,0,0
R Dravid,2,2,4,50.0,0,0
R Vinay Kumar,1,1,1,100.0,0,0
LB Williams,1,1,2,50.0,0,0
Kumar Kushagra,1,1,3,33.33,0,0
G Coetzee,1,1,2,50.0,0,0
BJ Hodge,1,1,3,33.33,0,0
M Rawat,1,0,2,0.0,0,0
B Akhil,1,0,2,0.0,0,0
Anmolpreet Singh,1,0,1,0.0,0,0
AA Kulkarni,1,0,1,0.0,0,0
